Currency,Option,Model,Price USD,Delta,Gamma,Parallel vol Vega,Rho
BTC,call,Black-Scholes,2449.7509621629433,0.5198673923373033,6.56947172038221e-05,8789.986596275412,3085.603233630536
BTC,call,Merton,3690.3972412084963,0.569746381512907,4.320189554333596e-05,630.7515529874763,3299.0575732105754
BTC,call,SVCJ proxy,3750.354997719617,0.568151593227679,4.246619373324541e-05,1685.9299877751255,3284.049999058425
BTC,call,MR-ISVM surface,3114.7278649973086,0.5451204629118909,0.008555517453995125,8785.899833674193,3052.6276672026142
BTC,call,Dynamic jump,3549.234756110283,0.5642987693722744,4.614689555787092e-05,3560.7702546508335,3276.210037645342
BTC,call,GARCH variance,2880.249005471618,0.5220357165732881,5.574431451112925e-05,8787.473277116078,3063.9530712505803
BTC,put,Black-Scholes,2386.5528212152276,-0.48013260766445665,6.569471695822857e-05,8789.986596275412,-3231.6158102185
BTC,put,Merton,3627.199098640473,-0.4302536184469083,4.320189543588879e-05,630.7515529761076,-3018.1614703133164
BTC,put,SVCJ proxy,3687.1568551515975,-0.4318484067322839,4.246619358742425e-05,1685.9299877728517,-3033.169044465467
BTC,put,MR-ISVM surface,3416.152624582057,-0.4482712992993479,0.008547420167594749,8783.178325793415,-3281.7441480074194
BTC,put,Dynamic jump,3486.0366137724245,-0.4357012305899926,4.6146895596244906e-05,3560.7702546576547,-3041.0090059262984
BTC,put,GARCH variance,2817.0508645239097,-0.47796428342752667,5.574431426553572e-05,8787.473277152458,-3253.2659726712154
ETH,call,Black-Scholes,107.37410836779122,0.5277377881625278,0.0014891691557577691,241.63668713129027,83.0114825396322
ETH,call,Merton,131.53733721599212,0.556729990352317,0.00122485867265934,148.53498936943765,86.07170507403339
ETH,call,SVCJ proxy,142.13916224060554,0.553789547445908,0.0011318546979016012,165.37628835592955,84.68925698537078
ETH,call,MR-ISVM surface,105.23320604232606,0.5502613349395479,0.47814836702476543,241.6556296662975,83.10866731562783
ETH,call,Dynamic jump,130.55929087255092,0.5533634119783619,0.001236280286709006,164.15456130005168,85.56622502297273
ETH,call,GARCH variance,125.77311556597647,0.5316980047970401,0.001268540208563182,241.4574057519303,82.18938045274626
ETH,put,Black-Scholes,105.6347406494441,-0.47226221183780703,0.0014891691430928404,241.6366871318587,-90.85386713820753
ETH,put,Merton,129.79796943883846,-0.44327000961313723,0.0012248586713928472,148.53498936929554,-87.79364459243766
ETH,put,SVCJ proxy,140.3997944634518,-0.4462104525200157,0.0011318546998013404,165.376288355219,-89.17609268195292
ETH,put,MR-ISVM surface,114.24904649236043,-0.4603096687709091,0.47781069851409025,241.55641487936919,-91.24142086989195
ETH,put,Dynamic jump,128.81992312554604,-0.4466365880043985,0.0012362802854425131,164.15456129976747,-88.29912464904055
ETH,put,GARCH variance,124.03374784762923,-0.4683019952035631,0.0012685402136291535,241.45740575136188,-91.6759692239566
