Currency,Model,mean_pnl,median_pnl,std_pnl,mean_abs_pnl,p05,p95,mean_turnover
BTC,MR-ISVM surface,-71.08929722831392,430.6152904525611,1607.2525910039524,1209.7906621032269,-3642.8228102288676,1444.5504708562441,74973.27097283615
BTC,GARCH variance,-721.2229511906764,-99.03606254952683,1779.4192199743231,1221.8954484502574,-4115.412535110498,808.3640490674792,84097.3484413335
BTC,Dynamic jump,-76.14664636060185,532.4029323806974,1672.9031071654115,1232.12152691018,-3433.4962402192323,1484.2115209256995,78806.39738098011
BTC,Merton,45.416174413863956,597.3235797878115,1636.8239709946174,1232.3736516465517,-3265.264063456979,1607.1689143479375,78581.98033152251
BTC,SVCJ proxy,92.57010741800512,634.9382897424176,1631.5496086962003,1251.6677214931292,-3204.437154223672,1657.9135785839703,78923.59586656668
BTC,Black-Scholes,-1053.16009169569,-439.58690520420964,1872.12622007871,1330.134145913164,-4812.7004524937265,515.8955963708962,81685.75047003393
ETH,GARCH variance,-0.6743781951616914,12.527119876112502,37.45342053463944,28.65432389351715,-66.08678825810739,42.53651500154735,3394.461468575597
ETH,Black-Scholes,-17.093115734286197,0.7694281246458099,40.14404542290866,28.844467745721225,-95.26814692164737,22.39196062091737,3469.911974688484
ETH,MR-ISVM surface,-2.417098360979662,14.007838765142242,38.122565256321465,30.112676422508954,-70.2502787347977,37.83134626853526,3171.443613905525
ETH,Dynamic jump,6.088469150237914,16.997445958099213,38.71566462811755,31.329197359524674,-60.941402163889464,49.63651817418892,3246.207258233068
ETH,Merton,7.247679588003377,17.86761440779975,39.07012149605057,31.921755471772244,-60.59249854776312,51.11902071773878,3227.7063625295386
ETH,SVCJ proxy,15.938529772875814,25.663854142873266,40.247944623922216,36.11535349114624,-51.0099962575417,60.29445165139207,3238.481863273655
