Currency,Model,Calibration object,Pricing method,Key fitted state
BTC,Black-Scholes,Historical log-return variance,Closed-form diffusion formula,sigma=0.2749
BTC,Merton,Weighted option-price error,Poisson mixture of Black-Scholes prices,sigma=0.0300; lambda=40.05; muJ=-0.0252; deltaJ=0.0635
BTC,SVCJ proxy,Historical variance state plus option variance multiplier,Moment-matched stochastic variance with Merton jumps,v0=0.0345; theta=0.0009; kappaV=12.00; vJump=0.0036; rho=-0.104; mult=0.250
BTC,MR-ISVM surface,Regime-aware Deribit mark-IV cross section,Black-Scholes with active-regime fitted IV surface,active_regime=stress; n_regimes=2; surface_rmse_price=0.3699; features=12
BTC,Dynamic jump,Weighted option-price error with mean-reverting lambda,Merton mixture with horizon-dependent effective intensity,sigma=0.1586; baseLambda=31.76; currentLambda=31.76; beta=2.05
BTC,GARCH variance,Historical conditional return variance,Black-Scholes with GARCH forecast average variance,omega=1.70132e-06; alpha=0.061; beta=0.920; persistence=0.981
ETH,Black-Scholes,Historical log-return variance,Closed-form diffusion formula,sigma=0.4402
ETH,Merton,Weighted option-price error,Poisson mixture of Black-Scholes prices,sigma=0.3290; lambda=40.05; muJ=-0.0349; deltaJ=0.0610
ETH,SVCJ proxy,Historical variance state plus option variance multiplier,Moment-matched stochastic variance with Merton jumps,v0=0.0989; theta=0.1082; kappaV=12.00; vJump=0.4328; rho=-0.093; mult=0.250
ETH,MR-ISVM surface,Regime-aware Deribit mark-IV cross section,Black-Scholes with active-regime fitted IV surface,active_regime=stress; n_regimes=2; surface_rmse_price=0.2783; features=12
ETH,Dynamic jump,Weighted option-price error with mean-reverting lambda,Merton mixture with horizon-dependent effective intensity,sigma=0.3602; baseLambda=33.01; currentLambda=34.51; beta=0.25
ETH,GARCH variance,Historical conditional return variance,Black-Scholes with GARCH forecast average variance,omega=8.08206e-06; alpha=0.059; beta=0.900; persistence=0.959
